ImieNazwisko,OcenaC,DataC,OcenaCPP,Egzamin,Timestamp,Wynik,prediction,prob
Dqhoil Dhxpluj,3.5,2016-01-14,4.0,3.0,1452726000,1,1.0,0.6822140478017863
Bhnhgpxj Lwjmq,4.5,2016-01-14,4.0,3.0,1452726000,1,1.0,0.815034643789244
Wkgjnerme Djfbw,4.0,2016-01-20,3.0,2.0,1453244400,0,1.0,0.5214319094648453
Sredvmuwt Tcimknl,4.5,2016-01-20,4.5,3.5,1453244400,1,1.0,0.8738590749460415
Tiowe Bqoilnqbrx,4.0,2016-01-14,4.5,3.0,1452726000,1,1.0,0.834828781680339
Bvaysqv Wuyih,3.5,2016-01-14,5.0,3.0,1452726000,1,1.0,0.8528869894846429
Jjoaxp Ktapcy,5.0,2016-01-20,4.0,3.5,1453244400,1,1.0,0.8579464314270332
Mkengbtw Aainhh,3.5,2016-01-20,3.0,2.0,1453244400,0,0.0,0.5680177413945112
Fbffjb Muupwshu,4.0,2016-01-14,5.0,4.0,1452726000,1,1.0,0.8925420783313445
Yahwfyp Bvnlsig,5.0,2016-01-14,4.5,4.0,1452726000,1,1.0,0.9120832314663505
Ecwjmpr Krixbvwk,5.0,2016-01-20,3.0,3.0,1453244400,1,1.0,0.6910167217054396
Ikoj Xvbskh,5.0,2016-01-20,3.5,4.5,1453244400,1,1.0,0.7861053391858615
Yimqki Fwchtt,4.5,2016-01-20,3.5,3.0,1453244400,1,1.0,0.7195153409831874
Pnbnsft Fecloeimw,3.5,2016-01-14,3.0,2.0,1452726000,0,0.0,0.5571232951905263
Byieeoy Pxhxrx,5.0,2016-01-20,3.0,2.0,1453244400,0,1.0,0.6910167217054396
Kbhjpspss Yyaxmiqvx,4.5,2016-01-14,5.0,3.0,1452726000,1,1.0,0.9224794936208636
Ddvictnni Gugtc,3.0,2016-01-20,3.0,2.0,1453244400,0,0.0,0.6532410799706808
Iftvf Benjw,4.5,2016-01-20,4.0,3.0,1453244400,1,1.0,0.8082670667772563
Trkop Dfqwjmlq,5.0,2016-01-14,5.0,3.5,1452726000,1,1.0,0.9445941917867733
Ejh Rgtxgi,4.0,2016-01-14,2.0,2.0,1452726000,0,0.0,0.7033720652707823
Pnprigywky Ooushe,5.0,2016-01-20,5.0,5.0,1453244400,1,1.0,0.9422309910753647
Gfmhyll Jwlhb,5.0,2016-01-20,3.0,2.0,1453244400,0,1.0,0.6910167217054396
Rqbvh Iknivqnj,5.0,2016-01-14,5.0,4.5,1452726000,1,1.0,0.9445941917867733
Psoqib Ourgkqfcog,5.0,2016-01-20,5.0,3.0,1453244400,1,1.0,0.9422309910753647
Dsuc Hulkglpk,4.5,2016-01-20,5.0,3.5,1453244400,1,1.0,0.9192536752891767
Yhngk Sgvvqxko,4.5,2016-01-20,3.0,3.0,1453244400,1,1.0,0.6095279779322874
Ekkmgra Iacwh,3.0,2016-01-22,3.0,4.0,1453417200,1,0.0,0.6565763398447272
Cybcu Hvfvt,5.0,2016-01-20,5.0,5.0,1453244400,1,1.0,0.9422309910753647
Ricsjpic Bavphg,4.5,2016-01-20,4.5,3.5,1453244400,1,1.0,0.8738590749460415
Uldp Lgiss,3.5,2016-01-14,4.5,3.0,1452726000,1,1.0,0.7791458449104527
Vgbbek Kckimoyf,5.0,2016-01-20,4.5,3.5,1453244400,1,1.0,0.9084677249442559
Yhmuixvf Fxfylr,4.0,2016-01-20,4.5,3.5,1453244400,1,1.0,0.828633163966374
Mifgel Butsfcvq,3.0,2016-01-20,2.0,2.0,1453244400,0,0.0,0.8357276465801577
Vdyseg Kywruehx,4.0,2016-01-20,3.0,2.0,1453244400,0,1.0,0.5214319094648453
Orctjt Bhtoulhnpgy,4.5,2016-01-20,4.0,3.5,1453244400,1,1.0,0.8082670667772563
Ynhomf Tqpchhs,4.5,2016-01-20,3.5,2.0,1453244400,0,1.0,0.7195153409831874
Lpaxmn Fmmgbx,3.5,2016-01-14,3.5,3.0,1452726000,1,1.0,0.5664140070687587
Ejttkgps Ucc,4.5,2016-01-20,3.0,3.0,1453244400,1,1.0,0.6095279779322874
Ijagues Ihoxhq,5.0,2016-01-20,4.5,4.0,1453244400,1,1.0,0.9084677249442559
Yabkqvq Amhmuqb,4.0,2016-01-20,4.0,3.5,1453244400,1,1.0,0.7463502790267957
Fwghmlvnj Wlrumelyr,4.0,2016-01-19,4.0,2.0,1453158000,0,1.0,0.7477446355867403
Ehsesh Vpilqkk,4.5,2016-01-20,5.0,3.0,1453244400,1,1.0,0.9192536752891767
Frojvu Qxkmhvc,5.0,2016-01-14,5.0,5.0,1452726000,1,1.0,0.9445941917867733
Yflmy Eetekib,4.5,2016-01-20,3.5,2.0,1453244400,0,1.0,0.7195153409831874
Jixdsbivdc Stflpoae,4.0,2016-01-20,3.5,2.0,1453244400,0,1.0,0.641644863797991
Mxcpgtusbe Mvywiywwp,4.0,2016-01-20,3.0,2.0,1453244400,0,1.0,0.5214319094648453
Nmuow Pjjhbrkqyk,4.0,2016-01-20,3.0,3.5,1453244400,1,1.0,0.5214319094648453
Iyyuh Ujlprpx,4.5,2016-01-20,5.0,5.0,1453244400,1,1.0,0.9192536752891767
Gtofcs Heeqrh,4.5,2016-01-20,5.0,4.5,1453244400,1,1.0,0.9192536752891767
Tkepe Pwilyhufw,3.0,2016-01-19,3.5,2.0,1453158000,0,0.0,0.5322569740789914
Brxygpm Twhbrtb,4.5,2016-01-20,4.0,3.0,1453244400,1,1.0,0.8082670667772563
Rscvd Pmsqkkj,4.5,2016-01-14,3.5,3.0,1452726000,1,1.0,0.7283627738272165
Ynjln Njjmbd,3.5,2016-01-20,3.0,2.0,1453244400,0,0.0,0.5680177413945112
Cjpwybuiq Hptkfnanlnspv,4.5,2016-01-22,4.0,3.0,1453417200,1,1.0,0.805969641591141
Ilfcoq Jumbwxhpjy,5.0,2016-01-19,5.0,4.5,1453158000,1,1.0,0.9426313254979397
Ealxab Kojmtw,4.5,2016-01-20,3.5,3.5,1453244400,1,1.0,0.7195153409831874
Ysbxkv Fwxo,3.5,2016-01-14,3.0,2.0,1452726000,0,0.0,0.5571232951905263
Yjfdsu Ogiaw,4.0,2016-01-20,5.0,4.0,1453244400,1,1.0,0.8882214429287211
Wcmuixng Mlwrt,5.0,2016-01-20,4.0,3.0,1453244400,1,1.0,0.8579464314270332
Ihtuoileg Fwffgx,5.0,2016-01-14,4.0,3.5,1452726000,1,1.0,0.8632571434241139
Niwa Voovevy,5.0,2016-01-14,5.0,3.0,1452726000,1,1.0,0.9445941917867733
Reu Gxbqr,3.5,2016-01-20,3.5,4.5,1453244400,1,1.0,0.55551076503203
Yjtitv Betvbfgcty,3.5,2016-01-14,3.0,3.0,1452726000,1,0.0,0.5571232951905263
Ttctd Lkwms,4.5,2016-01-19,4.5,3.5,1453158000,1,1.0,0.8746701975233195
Fkxlje Whrpnysq,4.0,2016-01-14,3.5,2.0,1452726000,0,1.0,0.6517597639595958
Bwcmy Ekngovpwc,4.5,2016-01-14,5.0,4.0,1452726000,1,1.0,0.9224794936208636
Onbfo Yjvjwooj,4.0,2016-01-20,4.5,4.0,1453244400,1,1.0,0.828633163966374
Vnxyon Yxssjcg,4.0,2016-01-14,3.5,3.5,1452726000,1,1.0,0.6517597639595958
Ttxpoll Ylipratxi,4.5,2016-01-19,5.0,4.5,1453158000,1,1.0,0.9197996872680745
Xkfhun Roam,5.0,2016-01-20,4.5,4.0,1453244400,1,1.0,0.9084677249442559
Nwwkit Xomwyf,3.0,2016-01-14,3.5,3.0,1452726000,1,0.0,0.5230619264397709
Gqxfmhrq Erbp,3.5,2016-01-14,2.0,2.0,1452726000,0,0.0,0.7725832845332956
Jbhbi Kidjhbco,3.5,2016-01-19,4.5,2.0,1453158000,0,1.0,0.7727318598092264
Jvcnwp Icrrbilc,5.0,2016-01-20,5.0,4.5,1453244400,1,1.0,0.9422309910753647
Mugwa Upmay,4.0,2016-01-14,3.0,3.5,1452726000,1,1.0,0.5324675437437382
Lpsjxq Gkguqwvh,4.0,2016-01-14,3.5,2.0,1452726000,0,1.0,0.6517597639595958
Ftuiv Mdhamfxjgobb,4.0,2016-01-14,4.0,3.0,1452726000,1,1.0,0.7546398980704931
Sroet Prfgxd,4.0,2016-01-20,5.0,4.5,1453244400,1,1.0,0.8882214429287211
Wfbxmsedc Yvmabin,4.0,2016-01-20,3.5,2.0,1453244400,0,1.0,0.641644863797991
Uwtoy Twyqnvltqc,5.0,2016-01-20,5.0,4.5,1453244400,1,1.0,0.9422309910753647
Xuoyy Ebxhojyramvl,4.0,2016-01-19,3.5,3.0,1453158000,1,1.0,0.6433397485309844
Vylth Vvjb,4.5,2016-01-20,4.5,4.0,1453244400,1,1.0,0.8738590749460415
Dll Upfyina,4.5,2016-01-14,4.0,2.0,1452726000,0,1.0,0.815034643789244
Qdcthn Jwdflisk,4.5,2016-01-14,5.0,3.0,1452726000,1,1.0,0.9224794936208636
Vsskxw Fxrhum,4.0,2016-01-20,5.0,3.5,1453244400,1,1.0,0.8882214429287211
Crlnll Jihqwkpwmy,5.0,2016-01-14,5.0,4.5,1452726000,1,1.0,0.9445941917867733
Qukiwfeht Yqrirnfej,3.5,2016-01-22,4.0,3.0,1453417200,1,1.0,0.6692809665326299
Fpevbg Qfadesku,4.0,2016-01-14,4.5,2.0,1452726000,0,1.0,0.834828781680339
Aqudax Nferp,4.5,2016-01-14,3.0,4.5,1452726000,1,1.0,0.6200125527881135
Ivjietbdl Udhvml,4.5,2016-01-14,5.0,4.0,1452726000,1,1.0,0.9224794936208636
Usggbh Gfppvtyn,3.0,2016-01-19,3.0,2.0,1453158000,0,0.0,0.651567763964295
Gfji Rdmx Mtpxj,4.5,2016-01-20,4.0,4.0,1453244400,1,1.0,0.8082670667772563
Sdprhafok Evxdyn,3.5,2016-01-14,3.0,2.0,1452726000,0,0.0,0.5571232951905263
Wpywci Meuqbgyi,3.0,2016-01-14,4.5,4.5,1452726000,1,1.0,0.7111852293806336
Bsfiuht Erlylwlqvo,4.5,2016-01-14,5.0,4.5,1452726000,1,1.0,0.9224794936208636
Vgbbfe Dibctrr,4.0,2016-01-20,4.0,3.0,1453244400,1,1.0,0.7463502790267957
Lyxussvtgs Hmvabfvya,4.5,2016-01-19,3.5,3.0,1453158000,1,1.0,0.7210020698484776
Qcuqtnnrsa Rvtcnalm,4.5,2016-01-14,4.5,3.0,1452726000,1,1.0,0.8786590259821071
Iobhm Mcqgsn,5.0,2016-01-14,4.5,3.0,1452726000,1,1.0,0.9120832314663505
Gocswr Sipdoprp,4.0,2016-01-19,4.5,3.0,1453158000,1,1.0,0.8296784200932821
Fgxspdaa Jrabwpjyu,4.5,2016-01-20,4.5,5.0,1453244400,1,1.0,0.8738590749460415
Hewicg Cirxgqnvfog,5.0,2016-01-14,3.5,4.5,1452726000,1,1.0,0.7934552625332358
Ffkhrs Xkxgylf,3.5,2016-01-14,3.0,2.0,1452726000,0,0.0,0.5571232951905263
