ImieNazwisko,OcenaC,DataC,OcenaCPP,Egzamin,Timestamp,Wynik,prediction,prob
Sdprhafok Evxdyn,3.5,2016-01-14,3.0,2.0,1452726000,0,0.0,0.5571232951905263
Lyxussvtgs Hmvabfvya,4.5,2016-01-19,3.5,3.0,1453158000,1,1.0,0.7210020698484776
Ealxab Kojmtw,4.5,2016-01-20,3.5,3.5,1453244400,1,1.0,0.7195153409831874
Pnprigywky Ooushe,5.0,2016-01-20,5.0,5.0,1453244400,1,1.0,0.9422309910753647
Wkgjnerme Djfbw,4.0,2016-01-20,3.0,2.0,1453244400,0,1.0,0.5214319094648453
Ikoj Xvbskh,5.0,2016-01-20,3.5,4.5,1453244400,1,1.0,0.7861053391858615
Ffkhrs Xkxgylf,3.5,2016-01-14,3.0,2.0,1452726000,0,0.0,0.5571232951905263
Ijagues Ihoxhq,5.0,2016-01-20,4.5,4.0,1453244400,1,1.0,0.9084677249442559
Xkfhun Roam,5.0,2016-01-20,4.5,4.0,1453244400,1,1.0,0.9084677249442559
Ttctd Lkwms,4.5,2016-01-19,4.5,3.5,1453158000,1,1.0,0.8746701975233195
Yflmy Eetekib,4.5,2016-01-20,3.5,2.0,1453244400,0,1.0,0.7195153409831874
Ftuiv Mdhamfxjgobb,4.0,2016-01-14,4.0,3.0,1452726000,1,1.0,0.7546398980704931
Bhnhgpxj Lwjmq,4.5,2016-01-14,4.0,3.0,1452726000,1,1.0,0.815034643789244
Uldp Lgiss,3.5,2016-01-14,4.5,3.0,1452726000,1,1.0,0.7791458449104527
Orctjt Bhtoulhnpgy,4.5,2016-01-20,4.0,3.5,1453244400,1,1.0,0.8082670667772563
Yhmuixvf Fxfylr,4.0,2016-01-20,4.5,3.5,1453244400,1,1.0,0.828633163966374
Wcmuixng Mlwrt,5.0,2016-01-20,4.0,3.0,1453244400,1,1.0,0.8579464314270332
Ecwjmpr Krixbvwk,5.0,2016-01-20,3.0,3.0,1453244400,1,1.0,0.6910167217054396
Yabkqvq Amhmuqb,4.0,2016-01-20,4.0,3.5,1453244400,1,1.0,0.7463502790267957
Dqhoil Dhxpluj,3.5,2016-01-14,4.0,3.0,1452726000,1,1.0,0.6822140478017863
